name,price,package_size,serving_size,calories_per_serving,calculated_calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Chocolatey Coated Chocolate Chip Cookie Dunkers,$6.49,24 Oz,38 g,190.0,198.0,10 g,6 g,0 g,0 mg,80 mg,25 g,1 g,14 g,14 g,2 g,0.0 mcg,10 mg,1.6 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Vegetable Spring Rolls,$4.49,9 Oz,102 g,500.0,517.0,25 g,4.5 g,0 g,10 mg,1010 mg,61 g,12 g,3 g,3 g,12 g,0.0 mcg,160 mg,1.9 mg,500 mg,,,,,,,,,,,,,,,,,,,,,
Chicken Spring Rolls,$4.49,9 Oz,1.8 oz/,100.0,100.0,4g,1g,0g,10mg,260mg,11g,2g,2g,,5g,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Bigonda Cheese with Herbs,$10.99,1 Lb,28 g/ about,100.0,100.0,8g,6g,0g,25mg,240mg,0g,0g,0g,0g,7g,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry & Lemon Hand PIes,$4.49,8.47 Oz,240 g,730.0,737.0,33 g,20 g,1.5 g,100 mg,870 mg,101 g,4 g,41 g,33 g,9 g,0.6 mcg,140 mg,3.5 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
Coffee Bean Hold the Cone! Mini Ice Cream Cones,$3.99,7.9 Oz,84 g,660.0,721.0,37 g,25 g,0 g,70 mg,250 mg,87 g,4 g,54 g,49 g,10 g,0.1 mcg,620 mg,5.4 mg,580 mg,,,,,,,,,,,,,,,,,,,,,
Traditional Style Fat Free Refried Beans,$1.19,16 Oz,130 g,120.0,124.0,0 g,0 g,0 g,0 mg,460 mg,23 g,5 g,2 g,0 g,8 g,0.0 mcg,50 mg,2.1 mg,510 mg,,,,,,,,,,,,,,,,,,,,,
Sliced Sharp Cheddar Cheese,$4.79,12 Oz,28 g/,110.0,117.0,9 g,6 g,0 g,30 mg,160 mg,2 g,0 g,0 g,0 g,7 g,0 mcg,207 mg,0 mg,15 mg,,,,,,,,,,,,,,,,,,,,,
Riced Hearts of Palm,$3.49,9 Oz,85 g,60.0,60.0,0 g,0 g,0 g,0 mg,0 mg,12 g,5 g,3 g,0 g,3 g,0.0 mcg,90 mg,0.4 mg,400 mg,,,,,,,,,,,,,,,,,,,,,
Organic Mayonnaise,$3.79,16 Fl Oz,14 g,100.0,99.0,11 g,2.0 g,0 g,5 mg,80 mg,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Bruschetta Sauce,$2.99,14.5 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Tri-Color Bell Peppers,$4.99,20 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raspberries,$7.99,18 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberries & Cream Gelato,$3.49,1 Pint,118 g,650.0,664.0,28 g,22 g,7 g,45 mg,95 mg,99 g,11 g,83 g,71 g,4 g,0.0 mcg,220 mg,0.0 mg,390 mg,,,,,,,,,,,,,,,,,,,,,
Jasmine Rice From Thailand,$3.29,3 Lb,45 g,160.0,152.0,0 g,0 g,0 g,0 mg,0 mg,35 g,2 g,0 g,0 g,3 g,0.0 mcg,0 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
"Extra Virgin Olive Oil, Liter",$11.99,33.8 Fl Oz,15 mL,120.0,126.0,14 g,2.0 g,0 g,0 mg,0 mg,0 g,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.1 mg,0 mg,1.5 g,10 g,,,,,,,,,,,,,,,,,,,
Slightly Coated Dark Chocolate Almonds,$4.99,10 Oz,28 g,150.0,173.0,13 g,2.0 g,0 g,0 mg,40 mg,9 g,3 g,4 g,3 g,5 g,0.0 mcg,60 mg,1.9 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
Carr Valley Cheese Glacier Wildfire Blue,$3.99,5 Oz,1 ounce,100.0,100.0,8 g,4.5 g,0 g,25 mg,170 mg,0 g,0 g,0 g,0 g,7 g,0.0 mcg,330 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Roasted Garlic & Pesto Pizza with Deep Fried Crust,$5.99,14.1 Oz,133 g,1280.0,1260.0,60 g,28 g,0 g,75 mg,2690 mg,130 g,9 g,4 g,0 g,50 g,0.8 mcg,780 mg,3.5 mg,500 mg,,,,,,,,,,,,,,,,,,,,,
Calabrian Chili Spicy Pasta Sauce,$4.99,18.34 Oz,60 g,80.0,86.0,6 g,0.5 g,0 g,0 mg,510 mg,6 g,2 g,5 g,3 g,2 g,0.0 mcg,20 mg,0.4 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Cheddar Jalapeño Pull Apart Bread,$4.99,12 Oz,56 g/ about,160.0,154.0,6 g,2.5 g,0 g,10 mg,340 mg,19 g,2 g,2 g,0 g,6 g,0.1 mcg,100 mg,1.4 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Elote Chopped Salad Kit,$3.99,11.94 Oz,100 g,70.0,164.0,12 g,3.0 g,0 g,10 mg,330 mg,11 g,2 g,3 g,2 g,3 g,0.1 mcg,70 mg,0.7 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Cruciferous Crunch Collection,$3.99,10 Oz,85 g,30.0,32.0,0 g,0 g,0 g,0 mg,25 mg,6 g,3 g,2 g,0 g,2 g,0.0 mcg,60 mg,0.9 mg,290 mg,,,,,,,,,,,,,,,,,,,,,
Cape Gooseberries,$3.49,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumo Citrus® Mandarins,$5.49,2 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Natural Pasture Raised Heirloom Whole Chicken,$3.99,1 Lb,112 g,240.0,237.0,17 g,4.5 g,0 g,100 mg,80 mg,0 g,0 g,0 g,0 g,21 g,0.0 mcg,10 mg,1.5 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
All Natural Pasture Raised Heirloom Ground Chicken,$6.99,1 Lb,112 g,180.0,183.0,11 g,3.0 g,0 g,115 mg,90 mg,0 g,0 g,0 g,0 g,21 g,0.0 mcg,10 mg,0.9 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
All Natural Pasture Raised Heirloom Chicken Thighs,$7.99,1 Lb,112 g,140.0,128.5,4.5 g,1.0 g,0 g,105 mg,105 mg,0 g,0 g,0 g,0 g,22 g,0.0 mcg,10 mg,0.9 mg,270 mg,,,,,,,,,,,,,,,,,,,,,
All Natural Pasture Raised Heirloom Chicken Breasts,$7.99,1 Lb,112 g,130.0,127.0,3.0 g,0.5 g,0 g,80 mg,50 mg,0 g,0 g,0 g,0 g,25 g,0.0 mcg,10 mg,0.4 mg,370 mg,,,,,,,,,,,,,,,,,,,,,
Fresh Atlantic Salmon Boneless Skinless Fillet,$11.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Atlantic Salmon Boneless Fillet,$9.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toscano Cheese with Black Pepper,$10.99,1 Lb,28 g,110.0,109.0,9g,5g,0g,30mg,170mg,0g,0g,0g,0g,7g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Garlic Naan Crackers,$3.49,10 Oz,30 g,130.0,129.0,5.0 g,0.5 g,0 g,0 mg,190 mg,19 g,2 g,2 g,2 g,2 g,0.0 mcg,10 mg,1.2 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Cinnamon Bun Inspired Joe-Joe's Sandwich Creme Cookies,$3.49,10.5 Oz,31 g,150.0,155.0,7 g,2.5 g,0 g,0 mg,70 mg,22 g,2 g,13 g,13 g,1 g,0.0 mcg,10 mg,0.7 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Caramel Hearts,$1.99,2.5 Oz,30 g,310.0,333.0,17 g,11 g,0 g,15 mg,90 mg,43 g,2 g,32 g,32 g,2 g,0.0 mcg,30 mg,2.3 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Jelly Bean Hearts,$1.49,3.9 Oz,30 g,110.0,108.0,0 g,0 g,0 g,0 mg,0 mg,27 g,0 g,22 g,22 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Organic Dried Mango Unsulfured & Unsweetened,$4.99,6 Oz,40 g,130.0,132.0,0 g,0 g,0 g,0 mg,0 mg,31 g,2 g,26 g,0 g,2 g,0 mcg,20 mg,0.4 mg,330 mg,,,,,,,,,,,,,,,,,,,,,
Hot Cocoa Inspired Cream Cheese Spread,$2.79,8 Oz,31 g,100.0,109.0,9 g,6 g,0 g,30 mg,90 mg,5 g,0 g,4 g,3 g,2 g,0.2 mcg,30 mg,0.2 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Sunflower Seed Spread,$5.49,16 Oz,32 g,210.0,205.0,17 g,1.5 g,0 g,0 mg,70 mg,5 g,2 g,3 g,3 g,8 g,0.0 mcg,20 mg,1.5 mg,190 mg,7 g,8 g,,,,,,,,,,,,,,,,,,,
Chocolate Raspberry Swirl,$3.79,1 Pint,128 g,690.0,705.0,29 g,16 g,0.5 g,105 mg,100 mg,103 g,5 g,91 g,82 g,8 g,1.0 mcg,210 mg,4.7 mg,670 mg,,,,,,,,,,,,,,,,,,,,,
Kung Pao Chicken,$5.99,23 Oz,150 g -,240.0,254.0,10g,2g,0g,90mg,690mg,17g,2g,8g,,24g,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon Rub Seasoning Blend,$2.69,2.6 Oz,1 g,0.0,8.0,0 g,,,,50 mg,2 g,,2 g,2 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional Whole Milk Ricotta Cheese,$3.99,16 Oz,55 g,80.0,82.0,6 g,5 g,0 g,20 mg,125 mg,2 g,0 g,2 g,0 g,5 g,0.0 mcg,170 mg,0.0 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Uncured Turkey Bacon,$3.99,8 Oz,28 g,35.0,33.0,1g,0g,0g,25mg,180mg,0g,0g,0g,,6g,,,,,,,,,,,,,,,,,,,,,,,,,
Pappardelle Pasta,$2.49,8 Oz,56 g/,210.0,213.0,1.0 g,0 g,0 g,15 mg,5 mg,43 g,2 g,0 g,0 g,8 g,0.1 mcg,0 mg,1.5 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
Organic Riced Cauliflower,$1.99,12 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsweetened Organic Açaí  Puree Packets,$3.99,14 Oz,99 g,320.0,332.0,28 g,7 g,0 g,0 mg,140 mg,16 g,12 g,0 g,0 g,4 g,0.0 mcg,160 mg,7.2 mg,480 mg,,,,,,,,,,,,,,,,,,,,,
Garlic Spread Dip,$3.69,8 Oz,28 g,150.0,159.0,15 g,1.0 g,0 g,0 mg,110 mg,4 g,0 g,0 g,,2 g,,15.5792 mg,0.1484 mg,,,,1.176 IU,3.3152 mg,,,,,,,,,,,,,,,,,
Sweet Cannoli Dip,$3.99,8 Oz,30 g,100.0,102.0,6 g,3.5 g,0 g,15 mg,55 mg,10 g,0 g,9 g,8 g,2 g,0.1 mcg,60 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Squiggly Knife Cut Style Noodles,$4.99,13.4 Oz,95 g,310.0,310.5,2.5 g,0.5 g,0 g,0 mg,920 mg,60 g,2 g,6 g,3 g,12 g,0.0 mcg,20 mg,1.1 mg,180 mg,,,,,,,,,,,,,,,,,,,,,
Butter Chicken with Basmati Rice,$4.49,12.5 Oz,354 g,400.0,409.0,13 g,4.5 g,0 g,80 mg,640 mg,49 g,2 g,3 g,2 g,24 g,0.0 mcg,50 mg,1.8 mg,530 mg,,,,,,,,,,,,,,,,,,,,,
Chili & Lime Flavored Rolled Corn Tortilla Chips,$2.99,9 Oz,28 g,150.0,148.0,8 g,0.5 g,0 g,0 mg,260 mg,17 g,2 g,0 g,0 g,2 g,0.0 mcg,20 mg,0.6 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Pizza Sprinkle Seasoning Blend,$2.99,2.2 Oz,0.7 g,0.0,0.0,0 g,,,,25 mg,0 g,,,,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Italian-Style Wedding Soup,$4.99,22 Oz,247 g,380.0,386.0,18 g,8 g,1.0 g,45 mg,1210 mg,39 g,3 g,4 g,1 g,17 g,0.0 mcg,130 mg,2.4 mg,500 mg,,,,,,,,,,,,,,,,,,,,,
Ubriaco al Cabernet,$11.99,1 Lb,28 g,120.0,118.0,10g,7g,0g,30mg,220mg,0g,0g,0g,0g,7g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Biscuits,$3.99,16 Oz,57 g,170.0,174.0,6 g,2.5 g,0 g,0 mg,570 mg,27 g,1 g,5 g,5 g,3 g,0.0 mcg,10 mg,0.3 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Organic Brown Rice Cake Thins,$1.99,4.8 Oz,29 g,110.0,113.0,1 g,0 g,0 g,0 mg,30 mg,23 g,1 g,0 g,0 g,3 g,,,,,,,,,,,,,,,,,,,,,,,,,
White Miso Paste,$2.99,5.3 Oz,6 g,10.0,16.0,0 g,,,,170 mg,2 g,,,,2 g,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Roasted Red Peppers,$2.99,16.4 Oz,28 g about,5.0,8.0,0 g,,,,90 mg,2 g,,,,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Stir Fried Garlicky Cabbage,$3.49,8.82 Oz,126 g,260.0,262.0,18 g,4.5 g,0 g,0 mg,1240 mg,19 g,7 g,10 g,2 g,6 g,0.0 mcg,100 mg,0.9 mg,690 mg,,,,,,,,,,,,,,,,,,,,,
Seasoned Corn Ribs,$3.99,15 Oz,98 g,460.0,484.0,36 g,7 g,0 g,0 mg,920 mg,35 g,5 g,10 g,0 g,5 g,0.0 mcg,10 mg,0.6 mg,300 mg,,,,,,,,,,,,,,,,,,,,,
4 Cheese Ravioli,$2.99,10 Oz,94 g,250.0,250.0,10 g,3.5 g,0 g,55 mg,620 mg,31 g,1 g,5 g,0 g,9 g,0.0 mcg,90 mg,0.6 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
Sweet Picanté Peppers,$4.99,10.23 Oz,30 g,50.0,51.0,3.0 g,1.5 g,0 g,5 mg,150 mg,5 g,2 g,3 g,2 g,1 g,0.0 mcg,20 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Thai Wheat Noodles,$2.99,21 Oz,198 g,310.0,310.0,2.0 g,0.5 g,0 g,0 mg,130 mg,63 g,4 g,0 g,0 g,10 g,0.0 mcg,30 mg,0.5 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Organic Apricot Preserves,$4.29,17.5 Oz,20 g,50.0,52.0,0 g,0 g,0 g,0 mg,0 mg,13 g,0 g,12 g,11 g,0 g,0.0 mcg,0 mg,0.2 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Organic Roasted Red Pepper and Almond Pesto Sauce,$3.99,9.87 Oz,60 g,76.0,70.0,6 g,1.5 g,0 g,10 mg,360 mg,2 g,2 g,0 g,0 g,2 g,0.0 mcg,60 mg,2.0 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Organic Crescent Rolls,$3.49,8 Oz,28 g,100.0,92.5,4.5 g,2.0 g,0 g,0 mg,270 mg,12 g,0 g,2 g,2 g,1 g,0.0 mcg,0 mg,0.1 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Super Seedy Cheese Snack Bites,$3.49,2.8 Oz,30 g,440.0,450.0,30 g,15 g,0 g,60 mg,960 mg,12 g,2 g,0 g,0 g,33 g,0.0 mcg,920 mg,2.5 mg,270 mg,,,,,,,,,,,,,,,,,,,,,
Brussels Sprouts & Uncured Bacon Ravioli,$1.99,8 Oz,105 g,520.0,543.0,19 g,8 g,0 g,95 mg,1460 mg,65 g,7 g,2 g,0 g,28 g,0.3 mcg,240 mg,3.7 mg,500 mg,,,,,,,,,,,,,,,,,,,,,
Sweet Italian Chicken Sausage,$6.49,1 Lb,90 g,110.0,103.5,3.5 g,1.0 g,0 g,80 mg,490 mg,1 g,0 g,1 g,1 g,17 g,0.0 mcg,60 mg,0.8 mg,490 mg,,,,,,,,,,,,,,,,,,,,,
Habanero Hot Sauce,$2.99,4.4 Fl Oz,5 mL,0.0,0.0,0 g,,,,30 mg,0 g,,,,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
A Trio of Almonds,$5.99,12 Oz,33 g,200.0,203.0,15 g,1.5 g,0 g,0 mg,40 mg,9 g,3 g,6 g,5 g,8 g,0.0 mcg,50 mg,0.8 mg,170 mg,3.5 g,8 g,,,,,,,,,,,,,,,,,,,
Minty Flavored Cocoa Truffles,$3.49,8.8 Oz,32 g,200.0,191.0,15 g,13 g,0 g,0 mg,15 mg,13 g,1 g,12 g,10 g,1 g,0.0 mcg,30 mg,2.0 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Favorite Sweets An Inspired Truffle Collection,$5.99,5.4 Oz,25 g,120.0,122.0,6 g,4.0 g,0 g,10 mg,15 mg,16 g,2 g,12 g,12 g,1 g,0.0 mcg,10 mg,1.4 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Truffle Oil Duo,$9.99,4.06 Fl Oz,14 g,120.0,117.0,13g,2.5g,0g,,0mg,0g,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,
Scar Pier Panettone al cioccolato,$12.99,26.45 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Covered Gingerbread Cookie Folk,$3.49,7.05 Oz,33 g,130.0,131.0,3.0 g,1.5 g,0 g,0 mg,50 mg,24 g,1 g,11 g,11 g,2 g,0.3 mcg,10 mg,2.0 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Jingle Jangle Pretzel Twists,$3.99,6.75 Oz,32 g,150.0,163.0,7 g,4.0 g,0 g,0 mg,75 mg,22 g,1 g,13 g,12 g,3 g,0.0 mcg,20 mg,0.9 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Platinum Aged Balsamic Vinegar of Modena,$8.99,8.5 Fl Oz,1 Tbsp.,50.0,44.0,0g,,,,0mg,11g,,11g,10g,0g,,,,,,,,,,,,,,,,,,,,,,,,,
Astounding Multi-Flavor Joe-Joe's,$8.49,21 Oz,25 g,130.0,131.0,7 g,3.0 g,0 g,0 mg,55 mg,16 g,2 g,11 g,11 g,1 g,0.1 mcg,10 mg,0.8 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Handmade Candy Cane with Cocoa Center,$1.49,1.75 Oz,50 g,200.0,198.5,2.5 g,2.0 g,0 g,0 mg,15 mg,44 g,0 g,35 g,30 g,0 g,0.0 mcg,0 mg,0.2 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Mini Chocolate Mousse Desserts,$4.79,6.36 Oz,180 g,670.0,661.0,45 g,31 g,0 g,85 mg,160 mg,56 g,4 g,38 g,35 g,8 g,0.0 mcg,90 mg,7.7 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Mini Hold The Cone Peppermint Flavored,$3.99,7.9 Oz,84 g,690.0,668.0,32 g,21 g,0 g,75 mg,270 mg,85 g,4 g,52 g,47 g,10 g,0.0 mcg,600 mg,5.8 mg,470 mg,,,,,,,,,,,,,,,,,,,,,
Toscano Cheese Soaked in Chardonnay Wine,$10.99,1 Lb,28 g,120.0,122.0,10g,7g,0g,25mg,170mg,1g,0g,0g,0g,7g,,,,,,,,,,,,,,,,,,,,,,,,,
English Toffee with Nuts,$10.99,30 Oz,36 g,200.0,206.0,14 g,6 g,0 g,15 mg,45 mg,18 g,1 g,16 g,16 g,2 g,0.1 mcg,30 mg,0.5 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Mini Gingerbread People,$4.49,16 Oz,32 g,150.0,149.0,5.0 g,3.0 g,0 g,0 mg,110 mg,24 g,1 g,13 g,13 g,2 g,0.0 mcg,20 mg,0.8 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Mini Chocolate Mousse Presents,$3.99,5 Oz,72 g/,680.0,680.0,44 g,23 g,0 g,35 mg,260 mg,66 g,4 g,53 g,53 g,5 g,0.0 mcg,50 mg,5.5 mg,260 mg,,,,,,,,,,,,,,,,,,,,,
Gingerbread Sandwich Cookies,$5.99,20 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Jumbo Cinnamon Rolls,$4.99,17.5 Oz,99 g,260.0,327.0,11 g,4.5 g,0 g,0 mg,750 mg,53 g,2 g,24 g,24 g,4 g,0.0 mcg,20 mg,0.4 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Double Crème Brie with Truffles,$9.99,8.5 Oz,28 g,100.0,97.0,9g,6g,0g,30mg,170mg,0g,0g,0g,0g,4g,,,,,,,,,,,,,,,,,,,,,,,,,
Truffle Dip,$5.49,7.5 Oz,28 g,60.0,66.0,6 g,3.0 g,0 g,15 mg,110 mg,1 g,0 g,2 g,0 g,2 g,0.1 mcg,40 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Chocolate Peppermint Loaf & Baking MIx,$3.99,19 Oz,34 g,200.0,205.0,9 g,2.0 g,0 g,10 mg,220 mg,29 g,1 g,17 g,17 g,2 g,0.1 mcg,40 mg,1.8 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Extra Fine French Green Beans,$2.49,24 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger Spread,$3.99,12 Oz,20 g,60.0,56.0,0 g,0 g,0 g,0 mg,0 mg,14 g,0 g,13 g,9 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
French Apple Tart,$7.99,20 Oz,142 g,330.0,332.0,12 g,6 g,0 g,15 mg,65 mg,53 g,2 g,29 g,21 g,3 g,0.0 mcg,10 mg,1.1 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Pie,$6.99,27 Oz,128 g,420.0,416.0,16 g,8 g,0 g,25 mg,390 mg,62 g,1 g,33 g,29 g,6 g,0.4 mcg,100 mg,1.5 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Pastry Bites Feta Cheese & Caramelized Onions,$5.49,8.5 Oz,80 g,730.0,735.0,55 g,35 g,0 g,200 mg,910 mg,45 g,2 g,8 g,3 g,15 g,1.0 mcg,235 mg,3.0 mg,580 mg,,,,,,,,,,,,,,,,,,,,,
Organic Creamy Mushroom Soup,$3.99,15 Oz,425 g,170.0,172.0,8 g,5 g,0 g,0 mg,1200 mg,22 g,3 g,5 g,2 g,3 g,0.0 mcg,70 mg,1.0 mg,260 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Triple Ginger Muffins,$4.99,14 Oz,99 g,380.0,380.0,20 g,3.0 g,0 g,60 mg,380 mg,47 g,1 g,24 g,24 g,3 g,0.5 mcg,50 mg,0.8 mg,270 mg,,,,,,,,,,,,,,,,,,,,,
Organic Sweet Potatoes,$6.49,5 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haricots Verts,$5.99,2 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrah Soaked Toscano Cheese Spread & Dip,$4.99,7.5 Oz,28 g,90.0,91.0,7 g,4.5 g,0 g,25 mg,140 mg,3 g,0 g,2 g,0 g,4 g,0.2 mcg,100 mg,0.2 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Belgian Cookie Trio,$5.99,10.9 Oz,33 g,170.0,160.0,8 g,5 g,0 g,15 mg,80 mg,20 g,2 g,12 g,11 g,2 g,0.0 mcg,20 mg,1.3 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Pão D' Água Portuguese Rolls,$2.29,9.3 Oz,66 g,160.0,156.5,0.5 g,0 g,0 g,0 mg,230 mg,33 g,2 g,2 g,0 g,5 g,0.0 mcg,60 mg,0.8 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Apple Crumble Pie,$7.99,27.161 Oz,128 g,330.0,333.0,13 g,8 g,0 g,35 mg,240 mg,50 g,3 g,27 g,21 g,4 g,0.2 mcg,80 mg,1.4 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Apple & Pumpkin Hand Pies,$4.49,8.47 Oz,240 g,730.0,733.0,37 g,22 g,1.5 g,140 mg,950 mg,90 g,4 g,34 g,27 g,10 g,0.7 mcg,140 mg,3.7 mg,230 mg,,,,,,,,,,,,,,,,,,,,,
Glazed Maple Donuts,$4.49,15 Oz,71 g,330.0,325.0,17 g,8 g,0 g,5 mg,270 mg,40 g,4 g,18 g,16 g,3 g,0.0 mcg,140 mg,1.4 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Portuguese Flor de Sal,$4.99,5.11 Oz,1.5 g,0.0,0.0,0 g,0 g,0 g,0 mg,580 mg,0 g,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
"Red Pepper, Cranberry & Walnut Dip",$3.99,8 Oz,32 g,70.0,77.0,5.0 g,0 g,0 g,0 mg,140 mg,6 g,1 g,4 g,3 g,2 g,0.1 mcg,10 mg,0.3 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Mashed Potatoes,$4.29,28 Oz,126 g,150.0,153.0,9 g,6 g,0 g,20 mg,250 mg,15 g,2 g,2 g,0 g,3 g,0.0 mcg,20 mg,0.3 mg,290 mg,,,,,,,,,,,,,,,,,,,,,
Korean Beefless Bulgogi,$4.99,10 Oz,94 g,230.0,223.0,11 g,2.0 g,0 g,0 mg,580 mg,15 g,5 g,6 g,6 g,16 g,0.0 mcg,60 mg,5.3 mg,190 mg,,,,,,,,,,,,,,,,,,,,,
Bulgur Pilaf with Butternut Squash & Feta Cheese,$1.99,14.1 Oz,111 g,200.0,194.0,10g,3g,0g,10mg,380mg,20g,2g,3g,0g,6g,0mcg,40mg,1mg,250mg,,,,,,,,,,,,,,,,,,,,,
Organic Dark Chocolate Half-Coated Rice Cake Thins,$2.49,3.42 Oz,24 g,120.0,118.0,6 g,3.5 g,0 g,0 mg,0 mg,14 g,2 g,5 g,5 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,
Vegan Salmonesque Spread,$4.29,8 Oz,28 g,100.0,101.0,9 g,4.0 g,0 g,0 mg,210 mg,3 g,0 g,0 g,0 g,2 g,0.0 mcg,10 mg,0.6 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Spanish Style Rice,$3.69,20 Oz,142 g,220.0,222.0,6 g,0.5 g,0 g,0 mg,700 mg,38 g,2 g,0 g,0 g,4 g,0.0 mcg,40 mg,1.8 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
